NVIDIA H100 80GB HBM3
=== launch-overhead probe: tiny GEMM (1 tile) triton vs cublas ===
  tiny 64x64x64: triton=20.5us cublas=8.9us  (floor)
  tiny 256x128x128: triton=20.7us cublas=6.9us  (floor)

stream      M    d |      gemm |   triton   cublas tri/cub
  atom   2048  128 |        dh |     21.1      6.9   3.05x
  atom   2048  128 |     dcond |     20.7      6.9   3.00x
  atom   2048  128 |  dx_1gemm |     20.8      8.2   2.55x
  atom   2048  128 |   dx_2dot |     23.6      8.2   2.89x
  atom   4096  128 |        dh |     20.6      7.0   2.96x
  atom   4096  128 |     dcond |     22.5      8.3   2.73x
  atom   4096  128 |  dx_1gemm |     21.3      8.3   2.57x
  atom   4096  128 |   dx_2dot |     23.4      8.3   2.83x
  atom   8192  128 |        dh |     20.8      8.8   2.36x
  atom   8192  128 |     dcond |     23.2     10.3   2.25x
  atom   8192  128 |  dx_1gemm |     20.8     11.1   1.87x
  atom   8192  128 |   dx_2dot |     43.0     11.1   3.87x
 token    384  768 |        dh |     25.3     11.8   2.15x
 token    384  768 |     dcond |     22.3     10.0   2.22x
 token    384  768 |  dx_1gemm |     72.4     20.1   3.60x
 token    384  768 |   dx_2dot |    101.6     20.1   5.05x
 token    512  768 |        dh |     25.3     12.3   2.06x
 token    512  768 |     dcond |     25.8     10.9   2.38x
 token    512  768 |  dx_1gemm |     71.7     23.1   3.10x
 token    512  768 |   dx_2dot |    103.2     23.1   4.46x
 token    768  768 |        dh |     46.8     19.8   2.36x
 token    768  768 |     dcond |     22.5     10.3   2.17x
 token    768  768 |  dx_1gemm |     82.2     26.1   3.14x
 token    768  768 |   dx_2dot |    201.2     26.1   7.70x
 token   1024  768 |        dh |     47.5     18.0   2.64x
 token   1024  768 |     dcond |     22.4     10.4   2.15x
 token   1024  768 |  dx_1gemm |     81.9     26.7   3.07x
 token   1024  768 |   dx_2dot |    203.6     26.7   7.64x
DONE
[exit=0] CT M2 DONE
