scope,L,B,C,packed_hidden,implementation,execution_path,mode,compiled,cudagraph,compile_wrap,precision,activation_dtype,parameter_dtype,dropout,device,node,torch,cuda,nvcc,triton,samples,median_us,evidence_file,evidence_key
B7-B12,384,1,128,256,baseline,Triton/cuBLAS,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,617.2159910202026,paired-lnpair_storepipe-L384.json,baseline
B7-B12,384,1,128,256,B7-B12 CUDA,front_prefetch_lnpair_storepipe,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,364.8480027914047,paired-lnpair_storepipe-L384.json,kindprefetch
B7-B12,768,1,128,256,baseline,Triton/cuBLAS,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,2365.6320571899414,paired-ring96cache3-L768.json,baseline
B7-B12,768,1,128,256,B7-B12 CUDA,front_ring96_cache3,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,1429.1359782218933,paired-ring96cache3-L768.json,kindprefetch
full_backward,384,1,128,256,baseline,Triton/cuBLAS,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,1092.303991317749,full-lnpair_storepipe-L384.json,baseline
full_backward,384,1,128,256,B7-B12 CUDA,front_prefetch_lnpair_storepipe,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,843.1040048599243,full-lnpair_storepipe-L384.json,kindprefetch
full_backward,768,1,128,256,baseline,Triton/cuBLAS,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,4338.912010192871,full-ring96cache3-L768.json,baseline
full_backward,768,1,128,256,B7-B12 CUDA,front_ring96_cache3,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,3405.00807762146,full-ring96cache3-L768.json,kindprefetch
forward_backward,384,1,128,256,baseline,Triton/cuBLAS,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,1530.2400588989258,train-total-qualified-L384.json,baseline
forward_backward,384,1,128,256,B7-B12 CUDA,front_prefetch_lnpair_storepipe,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,1273.9199995994568,train-total-qualified-L384.json,b7b12_cuda
forward_backward,768,1,128,256,baseline,Triton/cuBLAS,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,6068.656206130981,train-total-qualified-L768.json,baseline
forward_backward,768,1,128,256,B7-B12 CUDA,front_ring96_cache3,training,False,manual,none,bf16,bfloat16,bfloat16;LN=float32,0.25,NVIDIA H100 80GB HBM3,node02,2.10.0+cu128,12.8,12.9,3.6.0,600,5146.2721824646,train-total-qualified-L768.json,b7b12_cuda
