timestamp, index, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu, utilization.gpu [%]
2026/09/19 17:00:09.633, 0, 345 MHz, 2619 MHz, 72.41 W, 28, 0 %
2026/09/19 17:00:09.845, 0, 795 MHz, 2619 MHz, 72.56 W, 28, 0 %
2026/09/19 17:00:10.045, 0, 1980 MHz, 2619 MHz, 80.20 W, 29, 0 %
2026/09/19 17:00:10.245, 0, 1980 MHz, 2619 MHz, 92.30 W, 29, 4 %
2026/09/19 17:00:10.445, 0, 1980 MHz, 2619 MHz, 103.09 W, 29, 2 %
2026/09/19 17:00:10.645, 0, 1980 MHz, 2619 MHz, 145.80 W, 35, 0 %
2026/09/19 17:00:10.845, 0, 1950 MHz, 2619 MHz, 279.38 W, 39, 100 %
2026/09/19 17:00:11.046, 0, 1935 MHz, 2619 MHz, 403.11 W, 41, 100 %
2026/09/19 17:00:11.246, 0, 1950 MHz, 2619 MHz, 522.44 W, 41, 100 %
2026/09/19 17:00:11.446, 0, 1830 MHz, 2619 MHz, 642.15 W, 42, 100 %
2026/09/19 17:00:11.646, 0, 1665 MHz, 2619 MHz, 705.32 W, 41, 100 %
2026/09/19 17:00:11.846, 0, 1905 MHz, 2619 MHz, 693.63 W, 42, 100 %
2026/09/19 17:00:12.046, 0, 1935 MHz, 2619 MHz, 692.01 W, 43, 100 %
2026/09/19 17:00:12.246, 0, 1935 MHz, 2619 MHz, 691.91 W, 44, 100 %
2026/09/19 17:00:12.447, 0, 1770 MHz, 2619 MHz, 686.22 W, 43, 100 %
2026/09/19 17:00:12.647, 0, 1770 MHz, 2619 MHz, 694.20 W, 43, 100 %
2026/09/19 17:00:12.847, 0, 1920 MHz, 2619 MHz, 693.71 W, 44, 100 %
2026/09/19 17:00:13.047, 0, 1905 MHz, 2619 MHz, 693.82 W, 45, 100 %
2026/09/19 17:00:13.247, 0, 1950 MHz, 2619 MHz, 691.09 W, 45, 100 %
2026/09/19 17:00:13.447, 0, 1800 MHz, 2619 MHz, 690.75 W, 45, 100 %
2026/09/19 17:00:13.647, 0, 1860 MHz, 2619 MHz, 693.20 W, 45, 100 %
2026/09/19 17:00:13.847, 0, 1860 MHz, 2619 MHz, 694.03 W, 45, 100 %
2026/09/19 17:00:14.048, 0, 1965 MHz, 2619 MHz, 636.83 W, 38, 100 %
2026/09/19 17:00:14.248, 0, 1725 MHz, 2619 MHz, 626.77 W, 45, 49 %
2026/09/19 17:00:14.448, 0, 1740 MHz, 2619 MHz, 630.88 W, 46, 100 %
2026/09/19 17:00:14.648, 0, 1740 MHz, 2619 MHz, 644.50 W, 46, 100 %
2026/09/19 17:00:14.848, 0, 1755 MHz, 2619 MHz, 654.52 W, 47, 100 %
2026/09/19 17:00:15.048, 0, 1440 MHz, 2619 MHz, 693.98 W, 44, 100 %
2026/09/19 17:00:15.248, 0, 1665 MHz, 2619 MHz, 694.09 W, 46, 100 %
2026/09/19 17:00:15.448, 0, 1710 MHz, 2619 MHz, 692.19 W, 47, 100 %
2026/09/19 17:00:15.649, 0, 1725 MHz, 2619 MHz, 693.30 W, 47, 100 %
2026/09/19 17:00:15.849, 0, 1620 MHz, 2619 MHz, 692.33 W, 47, 100 %
2026/09/19 17:00:16.049, 0, 1620 MHz, 2619 MHz, 688.77 W, 46, 100 %
2026/09/19 17:00:16.249, 0, 1650 MHz, 2619 MHz, 695.85 W, 47, 100 %
2026/09/19 17:00:16.449, 0, 1665 MHz, 2619 MHz, 692.73 W, 47, 100 %
2026/09/19 17:00:16.649, 0, 1755 MHz, 2619 MHz, 687.61 W, 48, 100 %
2026/09/19 17:00:16.849, 0, 1575 MHz, 2619 MHz, 688.54 W, 48, 100 %
2026/09/19 17:00:17.049, 0, 1530 MHz, 2619 MHz, 694.74 W, 46, 100 %
2026/09/19 17:00:17.249, 0, 1650 MHz, 2619 MHz, 692.05 W, 47, 100 %
2026/09/19 17:00:17.450, 0, 1710 MHz, 2619 MHz, 690.27 W, 47, 100 %
2026/09/19 17:00:17.650, 0, 1755 MHz, 2619 MHz, 692.61 W, 49, 100 %
2026/09/19 17:00:17.850, 0, 1665 MHz, 2619 MHz, 688.35 W, 48, 100 %
2026/09/19 17:00:18.050, 0, 1545 MHz, 2619 MHz, 693.48 W, 47, 100 %
2026/09/19 17:00:18.250, 0, 1635 MHz, 2619 MHz, 693.11 W, 48, 100 %
