"ID","Process ID","Process Name","Host Name","thread Domain:Push/Pop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Id:Domain:Start/Stop_Range:PL_Type:PL_Value:CLR_Type:Color:Msg_Type:Msg","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed","gpu__time_duration.sum","launch__registers_per_thread","sm__throughput.avg.pct_of_peak_sustained_elapsed","sm__warps_active.avg.pct_of_peak_sustained_active"
"","","","","","","","","","","","","","%","us","register/thread","%","%"
"0","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::BinaryFunctor<bool, bool, bool, at::BitwiseAndFunctor<bool>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(1152, 1, 1)","0","10.0","4.278303","7.904000","20","17.170855","40.399624"
"1","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::unrolled_elementwise_kernel<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, 2>, 4, TrivialOffsetCalculator<1, unsigned int>, TrivialOffsetCalculator<1, unsigned int>, memory::LoadWithCast<1>, memory::StoreWithCast<1>>(int, T1, T2, T4, T5, T6, T7)","1","7","(128, 1, 1)","(1152, 1, 1)","0","10.0","2.489377","10.592000","28","13.453934","44.917864"
"2","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","_fused_ln_mask_kernel","1","7","(128, 1, 1)","(147456, 1, 1)","0","10.0","70.394891","165.280000","25","78.522529","87.732071"
"3","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","10.0","2.746340","6.816000","20","0.412615","6.400028"
"4","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","10.0","2.577052","7.232000","20","0.436687","6.116946"
"5","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","10.0","2.467942","7.584000","20","0.412835","5.770632"
"6","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::elementwise_kernel<128, 4, void at::gpu_kernel_impl_nocast<at::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)]>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)","1","7","(128, 1, 1)","(32, 1, 1)","0","10.0","2.783666","6.720000","20","0.407094","5.929530"
"7","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","kernel_cutlass_kernel_quackgemm_actGemmActSm100_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID10_ShapeMNK12819216_TVLayoutA1128161281128_TVLayoutB1192161921192__0","1","7","(256, 1, 1)","(1536, 2, 1)","0","10.0","53.452498","72.544000","48","23.620895","10.766594"
"8","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","kernel_cutlass_kernel_quackgemm_actGemmActSm100_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID10_ShapeMNK12819216_TVLayoutA1128161281128_TVLayoutB1192161921192__0","1","7","(256, 1, 1)","(1536, 2, 1)","0","10.0","54.177614","71.616000","48","23.591201","10.825224"
"9","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::vectorized_elementwise_kernel<8, at::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(73728, 1, 1)","0","10.0","36.352604","107.104000","32","82.026051","86.287209"
"10","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::vectorized_elementwise_kernel<8, at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(73728, 1, 1)","0","10.0","77.185256","80.128000","40","32.026267","59.757080"
"11","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","kernel_cutlass_kernel_quackgemm_actGemmActSm100_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID10_ShapeMNK12819216_TVLayoutA1128161281128_TVLayoutB1192161921192__0","1","7","(256, 1, 1)","(1536, 2, 1)","0","10.0","52.752029","73.728000","48","23.860935","10.665358"
"12","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","kernel_cutlass_kernel_quackgemm_actGemmActSm100_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID10_ShapeMNK12819216_TVLayoutA1128161281128_TVLayoutB1192161921192__0","1","7","(256, 1, 1)","(1536, 2, 1)","0","10.0","53.889906","71.904000","48","23.201020","10.904802"
"13","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::vectorized_elementwise_kernel<8, at::sigmoid_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 2)]::operator ()() const::[lambda() (instance 4)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], std::array<char *, 2>>(int, T2, T3)","1","7","(128, 1, 1)","(73728, 1, 1)","0","10.0","36.291669","107.136000","32","81.832309","86.296092"
"14","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","void at::vectorized_elementwise_kernel<8, at::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, binary_internal::MulFunctor<float>>, std::array<char *, 3>>(int, T2, T3)","1","7","(128, 1, 1)","(73728, 1, 1)","0","10.0","77.664964","79.680000","40","32.066642","59.365411"
"15","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","nvjet_tst_192x256_64x5_2x1_2cta_v_bz_TNT","1","7","(256, 1, 1)","(1536, 1, 1)","0","10.0","38.915108","165.408000","168","69.385117","9.345745"
"16","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none"" ","","layer_norm_transpose_forward_kernel","1","7","(256, 1, 1)","(9216, 1, 1)","0","10.0","88.950573","303.680000","64","40.331475","48.564468"
"17","1611919","python3.12","127.0.0.1","1611919  ""<default domain>:PROFILE:none:none:none:none:none:none""  ""<default domain>:fused_sigmoid_gated_dual_gemm_forward_kernel_wrapper:none:none:none:none:none:none"" ","","fused_sigmoid_gated_dual_gemm_forward_kernel","1","7","(128, 1, 1)","(4608, 1, 1)","0","10.0","31.274002","234.112000","255","37.199100","11.838605"
