op,kernel,file,line,axis,accuracy,blk128,blk16,blk32,blk64,grid,mixed1,mixed2,warp4,warp8,grid_axis,loop_step,loop_extent,extent_bounded
adaln_bwd_dx_dlnw_triton,_dgrad_condln_kernel,miniworld_engine/kernels/adaln/triton/training.py,349,BLOCK_K_K2,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K2,1
adaln_bwd_dx_dlnw_triton,_dgrad_condln_kernel,miniworld_engine/kernels/adaln/triton/training.py,349,BLOCK_K_NC,64,128,16,32,64,16 32 64,64,32,64,64,0,1,NC,1
adaln_bwd_dx_dlnw_triton,_dgrad_condln_kernel,miniworld_engine/kernels/adaln/triton/training.py,349,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
adaln_bwd_pre_dx_triton,_bwd_x_kernel,miniworld_engine/kernels/adaln/triton/training.py,215,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
adaln_bwd_pre_dx_triton,_bwd_x_kernel,miniworld_engine/kernels/adaln/triton/training.py,215,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
adaln_epilogue_saveact_triton,_epilogue_train_kernel,miniworld_engine/kernels/adaln/triton/training.py,89,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
adaln_epilogue_saveact_triton,_epilogue_train_kernel,miniworld_engine/kernels/adaln/triton/training.py,89,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
adaln_epilogue_triton,_adaln_epilogue_kernel,miniworld_engine/kernels/adaln/triton/inference.py,150,BLOCK_K,64,128,16,32,64,64 128 256 512 1024,128,16,64,64,0,1,N,1
adaln_epilogue_triton,_adaln_epilogue_kernel,miniworld_engine/kernels/adaln/triton/inference.py,150,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,64,32,64,64,1,0,,
adaln_fwd_triton,_adaln_fused_kernel,miniworld_engine/kernels/adaln/triton/inference.py,368,BLOCK_K_NC,64,128,16,32,64,16 32 64,128,16,64,64,0,1,NC,1
adaln_fwd_triton,_adaln_fused_kernel,miniworld_engine/kernels/adaln/triton/inference.py,368,BLOCK_K_NX,64,128,16,32,64,16 32 64,64,32,64,64,0,1,NX,1
adaln_fwd_triton,_adaln_fused_kernel,miniworld_engine/kernels/adaln/triton/inference.py,368,BLOCK_M1,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
adaln_gemm_gate_triton,_adaln_gemm_gate_kernel,miniworld_engine/kernels/adaln/triton/inference.py,262,BLOCK_K,32,64,16,32,64,16 32 64 128,32,16,32,32,0,1,NC,1
adaln_gemm_gate_triton,_adaln_gemm_gate_kernel,miniworld_engine/kernels/adaln/triton/inference.py,262,BLOCK_M,64,128,32,64,64,64 128 256,128,32,64,128,1,0,,
adaln_gemm_gate_triton,_adaln_gemm_gate_kernel,miniworld_engine/kernels/adaln/triton/inference.py,262,BLOCK_N,64,128,64,64,64,64 128 256,128,64,128,64,1,0,,
adaln_gemm_gate_triton,_adaln_gemm_gate_kernel,miniworld_engine/kernels/adaln/triton/inference.py,262,GROUP_M,8,8,1,4,8,1 2 4 8 16,8,1,4,8,0,0,,
augmented_attention_bwd_atomic_triton,_attn_bwd,miniworld_engine/kernels/augmented_attention/triton/memory_efficient.py,118,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,0,0,,
augmented_attention_bwd_atomic_triton,_attn_bwd,miniworld_engine/kernels/augmented_attention/triton/memory_efficient.py,118,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
augmented_attention_bwd_pre_triton,_attn_bwd_preprocess,miniworld_engine/kernels/augmented_attention/triton/main.py,254,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,128,16,64,64,1,0,,
augmented_attention_bwd_reduce_triton,_dq_reduce,miniworld_engine/kernels/augmented_attention/triton/main.py,543,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
augmented_attention_bwd_split_triton,_attn_bwd,miniworld_engine/kernels/augmented_attention/triton/main.py,384,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,0,0,,
augmented_attention_bwd_split_triton,_attn_bwd,miniworld_engine/kernels/augmented_attention/triton/main.py,384,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
augmented_attention_fwd_triton,_attn_fwd,miniworld_engine/kernels/augmented_attention/triton/main.py,122,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,1,0,,
augmented_attention_fwd_triton,_attn_fwd,miniworld_engine/kernels/augmented_attention/triton/main.py,122,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,0,0,,
bias_only_attention_bwd_pre_triton,_attn_bwd_preprocess,miniworld_engine/kernels/bias_only_attention/triton/main.py,184,BLOCK_M1,64,128,16,32,64,1 2 4 8 16 32 64 128,128,16,64,64,1,0,,
bias_only_attention_bwd_triton,_attn_bwd,miniworld_engine/kernels/bias_only_attention/triton/main.py,282,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,0,0,,
bias_only_attention_bwd_triton,_attn_bwd,miniworld_engine/kernels/bias_only_attention/triton/main.py,282,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
bias_only_attention_fwd_triton,_attn_fwd,miniworld_engine/kernels/bias_only_attention/triton/main.py,76,BLOCK_M1,64,128,16,32,64,32 64 128 256,128,16,64,64,1,0,,
bias_only_attention_fwd_triton,_attn_fwd,miniworld_engine/kernels/bias_only_attention/triton/main.py,76,BLOCK_M2,64,128,16,32,64,32 64 128 256,64,32,64,64,0,0,,
cond_transition_bwd_swiglu_flat_triton,_swiglu_bwd_kernel,miniworld_engine/kernels/conditioned_transition/triton/training.py,148,BLOCK_E,64,128,16,32,64,16 32 64 128 256 512 1024 2048,128,16,64,64,1,0,,
cond_transition_expand_swiglu_saveact_triton,_fwd_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,64,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
cond_transition_expand_swiglu_saveact_triton,_fwd_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,64,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
cond_transition_expand_swiglu_saveact_triton,_fwd_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,64,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
cond_transition_expand_swiglu_saveact_triton,_fwd_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,64,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
cond_transition_expand_swiglu_triton,_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,53,BLOCK_K,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
cond_transition_expand_swiglu_triton,_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,53,BLOCK_M1,64,128,16,32,64,32 64 128 256,64,32,64,64,1,0,,
cond_transition_expand_swiglu_triton,_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,53,BLOCK_N,64,128,16,32,64,32 64 128 256,32,64,64,64,1,0,,
cond_transition_expand_swiglu_triton,_expand_swiglu_kernel,miniworld_engine/kernels/conditioned_transition/triton/composed.py,53,GROUP_M,65536,65536,65536,65536,65536,1 4 16 65536,65536,65536,65536,65536,0,0,,
cond_transition_fwd_b2b_saveact_triton,_b2b_fwd_train_kernel,miniworld_engine/kernels/conditioned_transition/triton/training.py,269,BLOCK_K_D,64,128,16,32,64,16 32 64,128,16,64,64,0,1,K,1
