kernel,backend,family,file,status,detail,dtype
#provenance,1.0.0,012e9cafcc8d,dirty,2026-08-29,v1.0.0-133-g012e9ca,
adaln_bwd_dx_dlnw_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/training.py,ok,rel DCond=7.55e-04 DLnW=7.75e-04 (band 3e-03 declared),fp32
adaln_bwd_pre_dx_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/training.py,ok,rel D=6.99e-08 DX=1.64e-07 (band 7e-07 declared),fp32
adaln_epilogue_saveact_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/training.py,ok,rel Y=1.37e-07 Mean=0.00e+00 Rstd=2.02e-07 Gate=1.80e-07 (band 8e-07 declared),fp32
augmented_attention_bwd_atomic_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/memory_efficient.py,ok,rel dq=1.92e-03 dk=1.90e-03 dv=2.03e-03 dbias=1.19e-03 (band 9e-03 declared),fp32
augmented_attention_bwd_pre_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,ok,rel out=1.60e-07 (band 4e-07 declared),fp32
augmented_attention_bwd_reduce_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,ok,rel out=0.00e+00 (band 1e-04 declared),fp32
augmented_attention_bwd_split_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,ok,rel dq=1.92e-03 dk=1.90e-03 dv=2.03e-03 dbias=1.19e-03 (band 1e-02 declared),fp32
augmented_attention_fwd_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,ok,rel out=1.39e-03 m=4.03e-04 (band 6e-03 declared),fp32
cond_transition_bwd_swiglu_flat_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,ok,rel out=1.62e-07 (band 6e-07 declared),fp32
cond_transition_expand_swiglu_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,ok,rel H=1.48e-03 AB=8.64e-04 (band 6e-03 declared),fp32
cond_transition_expand_swiglu_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/composed.py,ok,rel out=1.48e-03 (band 6e-03 declared),fp32
cond_transition_fwd_b2b_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,ok,rel Y=2.40e-03 AB=8.64e-04 H=1.48e-03 Out=2.32e-03 Scale=8.13e-04 (band 9e-03 declared),fp32
cond_transition_fwd_b2b_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/inference.py,ok,rel out=2.40e-03 (band 9e-03 declared),fp32
cond_transition_squeeze_gate_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/fwd_saveact.py,ok,rel Y=1.77e-03 Out=8.61e-04 Scale=8.13e-04 (band 7e-03 declared),fp32
cond_transition_squeeze_gate_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/composed.py,ok,rel out=1.77e-03 (band 7e-03 declared),fp32
cond_transition_swiglu_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,ok,rel out=9.55e-08 (band 4e-07 declared),fp32
layernorm_bwd_split_cuda,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,ok,rel dx=1.74e-07 dw=4.24e-07 db=4.92e-07 (band 2e-06 declared),fp32
layernorm_bwd_reduce_cuda,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,ok,rel dw=4.24e-07 db=4.92e-07 (band 2e-06 declared),fp32
