kernel,backend,family,file,status,detail
adaln_bwd_dx_dlnw_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/training.py,ok,launched by bench
adaln_bwd_pre_dx_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/training.py,ok,launched by bench
adaln_epilogue_saveact_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/training.py,ok,launched by bench
adaln_epilogue_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/inference.py,untested,
adaln_fwd_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/inference.py,ok,launched by bench
layernorm_fwd_strided_triton,triton,adaln,miniworld_engine/kernels/adaln/triton/fused3.py,ok,launched by bench
augmented_attention_bwd_atomic_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/memory_efficient.py,untested,
augmented_attention_bwd_pre_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,untested,
augmented_attention_bwd_reduce_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,untested,
augmented_attention_bwd_split_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,untested,
augmented_attention_fwd_triton,triton,augmented_attention,miniworld_engine/kernels/augmented_attention/triton/main.py,ok,launched by bench
bias_only_attention_bwd_pre_triton,triton,bias_only_attention,miniworld_engine/kernels/bias_only_attention/triton/main.py,untested,
bias_only_attention_bwd_triton,triton,bias_only_attention,miniworld_engine/kernels/bias_only_attention/triton/main.py,untested,
bias_only_attention_fwd_triton,triton,bias_only_attention,miniworld_engine/kernels/bias_only_attention/triton/main.py,ok,launched by bench
gated_projection_bwd_dx_triton,triton,bias_only_attention,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,untested,
gated_projection_gate_gemm_triton,triton,bias_only_attention,miniworld_engine/kernels/bias_only_attention/triton/gate_out.py,untested,
cond_transition_bwd_swiglu_flat_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,untested,
cond_transition_expand_swiglu_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/train_fused.py,untested,
cond_transition_expand_swiglu_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/composed.py,untested,
cond_transition_fwd_b2b_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,untested,
cond_transition_fwd_b2b_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/inference.py,ok,launched by bench
cond_transition_squeeze_gate_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/train_fused.py,untested,
cond_transition_squeeze_gate_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/composed.py,untested,
cond_transition_swiglu_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,untested,
gated_projection_bwd_gate_flat_lowp_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/train_fused.py,untested,
layernorm_fwd_rowscale_triton,triton,fused_ln_mask,miniworld_engine/kernels/fused_ln_mask/cute/fused_ln_mask.py,ok,launched by bench
gated_projection_bwd_gate_flat_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,untested,
gated_projection_bwd_gate_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,untested,
gated_projection_gate_flat_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,untested,
gated_projection_gate_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,untested,
layer_norm_bwd_main_kernel,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,untested,
layer_norm_bwd_reduce_kernel,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,untested,
layer_norm_fwd_kernel,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,untested,
layernorm_bwd_atomic_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/main.py,ok,launched by bench
layernorm_bwd_split_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/persistent.py,ok,launched by bench
layernorm_fwd_mmajor_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/transpose.py,untested,
layernorm_fwd_saveact_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/main.py,ok,launched by bench
GemmLNLFusedSm90.kernel,cute,layernorm_linear,miniworld_engine/kernels/layernorm_linear/cute/gemm_layernorm_linear_fused.py,untested,
layernorm_bwd_atomic_strided_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,ok,launched by bench
layernorm_bwd_split_mmajor_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/mmajor_bwd.py,untested,
layernorm_fwd_recompute_noaffine_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,untested,
layernorm_fwd_recompute_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,untested,
layernorm_fwd_saveact_strided_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,ok,launched by bench
layernorm_linear_bwd_fp32_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/pair_bias.py,untested,
layernorm_linear_fwd_fp32_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/pair_bias.py,untested,
layernorm_linear_fwd_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/fused.py,ok,launched by bench
layernorm_stats_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/stats.py,ok,launched by bench
GatedPersistentGemmKernel.kernel,cute,tm1,miniworld_engine/kernels/tm1/cute/sm100_gate_gemm_collective.py,untested,
PersistentDenseGemmKernel.kernel,cute,tm1,miniworld_engine/kernels/tm1/cute/_blackwell_dense_gemm.py,untested,
gated_projection_gate_inplace_flat_triton,triton,tm1,miniworld_engine/kernels/tm1/cute/launch.py,untested,
gated_projection_gate_packed_flat_triton,triton,tm1,miniworld_engine/kernels/tm1/cute/launch.py,untested,
trimul_bwd_gate_recompute_triton,triton,tm1,miniworld_engine/kernels/tm1/triton/main.py,untested,
trimul_gemm_gate_triton,triton,tm1,miniworld_engine/kernels/tm1/triton/main.py,ok,launched by bench
TM2DualKernel.kernel,cute,tm2,miniworld_engine/kernels/tm2/cute/tm2_cute_kernel.py,untested,
trimul_outproj_bwd_gate_recompute_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,untested,
trimul_outproj_gemm_gate_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,ok,launched by bench
cast_kernel,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,untested,
swish_mul_kernel,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,untested,
transition_grad_kernel,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,untested,
SwiGLUGateBwdKernel.kernel,cute,transition,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,untested,
layernorm_bwd_foldstats_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,launched by bench
layernorm_fwd_recompute_foldstats_triton,triton,transition,miniworld_engine/kernels/transition/cute/fused.py,untested,
transition_bwd_epilogue_triton,triton,transition,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,untested,
