kernel,backend,family,kind,level,width,developed,dtypes,file,symbol,driver,check,rtol,arch,tuned_for
adaln_bwd_dlnw_triton,triton,adaln,gemm,atom,single,no,bf16|fp32,miniworld_engine/kernels/adaln/triton/main.py,adaln_bwd_lnw_kernel,miniworld_engine.kernels.drivers.adaln:adaln_bwd_dlnw,miniworld_engine.kernels.checks.adaln:adaln_bwd_dlnw,1.1e-2,sm80,
adaln_bwd_dw_triton,triton,adaln,gemm,atom,single,no,bf16|fp32,miniworld_engine/kernels/adaln/triton/main.py,adaln_bwd_weight_kernel,miniworld_engine.kernels.drivers.adaln:adaln_bwd_dw,miniworld_engine.kernels.checks.adaln:adaln_bwd_dw,1.3e-2,sm80,
adaln_bwd_dx_dbias_triton,triton,adaln,gemm,atom,single,no,bf16|fp32,miniworld_engine/kernels/adaln/triton/main.py,adaln_bwd_input_kernel,miniworld_engine.kernels.drivers.adaln:adaln_bwd_dx_dbias,miniworld_engine.kernels.checks.adaln:adaln_bwd_dx_dbias,1.5e-2,sm80,
adaln_bwd_dx_dlnw_triton,triton,adaln,gemm,atom,single,yes,bf16|fp32,miniworld_engine/kernels/adaln/triton/training.py,_dgrad_condln_kernel,miniworld_engine.kernels.drivers.adaln:adaln_bwd_dx_dlnw,miniworld_engine.kernels.checks.adaln:adaln_bwd_dx_dlnw,1.4e-2,sm80,
adaln_bwd_pre_dx_triton,triton,adaln,reduce,atom,single,yes,bf16|fp32,miniworld_engine/kernels/adaln/triton/training.py,_bwd_x_kernel,miniworld_engine.kernels.drivers.adaln:adaln_bwd_pre_dx,miniworld_engine.kernels.checks.adaln:adaln_bwd_pre_dx,1.3e-2,sm80,
adaln_bwd_pre_triton,triton,adaln,elem,atom,single,no,bf16,miniworld_engine/kernels/adaln/triton/fused3.py,_bwd_elem_kernel,miniworld_engine.kernels.drivers.adaln:adaln_bwd_pre,miniworld_engine.kernels.checks.adaln:adaln_bwd_pre,1.4e-2,sm80,
adaln_epilogue_saveact_triton,triton,adaln,reduce,atom,single,yes,bf16|fp32,miniworld_engine/kernels/adaln/triton/training.py,_epilogue_train_kernel,miniworld_engine.kernels.drivers.adaln:adaln_epilogue_saveact,miniworld_engine.kernels.checks.adaln:adaln_epilogue_saveact,1.3e-2,sm80,
adaln_epilogue_triton,triton,adaln,reduce,atom,single,yes,bf16,miniworld_engine/kernels/adaln/triton/inference.py,_adaln_epilogue_kernel,miniworld_engine.kernels.drivers.adaln:adaln_epilogue,miniworld_engine.kernels.checks.adaln:adaln_epilogue,1.3e-2,sm80,
adaln_fwd_saveact_triton,triton,adaln,gemm,atom,single,no,bf16|fp32,miniworld_engine/kernels/adaln/triton/main.py,adaln_fwd_kernel,miniworld_engine.kernels.drivers.adaln:adaln_fwd_saveact,miniworld_engine.kernels.checks.adaln:adaln_fwd_saveact,,sm80,
adaln_fwd_triton,triton,adaln,gemm,atom,single,yes,bf16,miniworld_engine/kernels/adaln/triton/inference.py,_adaln_fused_kernel,miniworld_engine.kernels.drivers.adaln:adaln_fwd,miniworld_engine.kernels.checks.adaln:adaln_fwd,1.4e-2,sm80,
adaln_gemm_gate_triton,triton,adaln,gemm,atom,single,no,bf16,miniworld_engine/kernels/adaln/triton/fused3.py,_gemm_gate_kernel,miniworld_engine.kernels.drivers.adaln:adaln_gemm_gate,miniworld_engine.kernels.checks.adaln:adaln_gemm_gate,1.1e-2,sm80,
