kernel,arch,dtype,bucket,modules,streams,lengths,units
adaln_bwd_dx_dlnw_triton,sm86,bfloat16+float32,shape_key=140741783847754,adaptive_layernorm|conditioned_transition,atom_single,2048,20
adaln_bwd_dx_dlnw_triton,sm86,bfloat16+float32,shape_key=281479272203082,adaptive_layernorm|conditioned_transition,atom_single,4096,20
adaln_bwd_dx_dlnw_triton,sm86,bfloat16+float32,shape_key=562954248913738,adaptive_layernorm|conditioned_transition,atom_single,8192,20
adaln_bwd_dx_dlnw_triton,sm86,bfloat16+float32,shape_key=70373039670090,adaptive_layernorm|conditioned_transition,atom_single,1024,20
adaln_bwd_dx_dlnw_triton,sm86,float32,shape_key=140741783847754,adaptive_layernorm|conditioned_transition,atom_single,2048,20
adaln_bwd_dx_dlnw_triton,sm86,float32,shape_key=281479272203082,adaptive_layernorm|conditioned_transition,atom_single,4096,20
adaln_bwd_dx_dlnw_triton,sm86,float32,shape_key=562954248913738,adaptive_layernorm|conditioned_transition,atom_single,8192,20
adaln_bwd_dx_dlnw_triton,sm86,float32,shape_key=70373039670090,adaptive_layernorm|conditioned_transition,atom_single,1024,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=137439478554,adaptive_layernorm|conditioned_transition,atom_single,8192,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=17180394266,adaptive_layernorm|conditioned_transition,atom_single,1024,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=2150630170,adaptive_layernorm|conditioned_transition,token_single,128,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=34360263450,adaptive_layernorm|conditioned_transition,atom_single,2048,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=4298113818,adaptive_layernorm|conditioned_transition,token_single,256,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=6445597466,adaptive_layernorm|conditioned_transition,token_single,384,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=68720001818,adaptive_layernorm|conditioned_transition,atom_single,4096,20
adaln_bwd_pre_dx_triton,sm86,bfloat16+float32,shape_key=8593081114,adaptive_layernorm|conditioned_transition,token_single,512,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=137439478554,adaptive_layernorm|conditioned_transition,atom_single,8192,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=17180394266,adaptive_layernorm|conditioned_transition,atom_single,1024,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=2150630170,adaptive_layernorm|conditioned_transition,token_single,128,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=34360263450,adaptive_layernorm|conditioned_transition,atom_single,2048,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=4298113818,adaptive_layernorm|conditioned_transition,token_single,256,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=6445597466,adaptive_layernorm|conditioned_transition,token_single,384,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=68720001818,adaptive_layernorm|conditioned_transition,atom_single,4096,20
adaln_bwd_pre_dx_triton,sm86,float32,shape_key=8593081114,adaptive_layernorm|conditioned_transition,token_single,512,20
adaln_epilogue_saveact_triton,sm86,bfloat16+float32,"HAS_SB=1,shape_key=137439478554",adaptive_layernorm|conditioned_transition,atom_single,8192,20
adaln_epilogue_saveact_triton,sm86,bfloat16+float32,"HAS_SB=1,shape_key=17180394266",adaptive_layernorm|conditioned_transition,atom_single,1024,20
adaln_epilogue_saveact_triton,sm86,bfloat16+float32,"HAS_SB=1,shape_key=34360263450",adaptive_layernorm|conditioned_transition,atom_single,2048,20
adaln_epilogue_saveact_triton,sm86,bfloat16+float32,"HAS_SB=1,shape_key=68720001818",adaptive_layernorm|conditioned_transition,atom_single,4096,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=137439478554",adaptive_layernorm|conditioned_transition,atom_single,8192,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=17180394266",adaptive_layernorm|conditioned_transition,atom_single,1024,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=2150630170",adaptive_layernorm|conditioned_transition,token_single,128,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=34360263450",adaptive_layernorm|conditioned_transition,atom_single,2048,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=4298113818",adaptive_layernorm|conditioned_transition,token_single,256,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=6445597466",adaptive_layernorm|conditioned_transition,token_single,384,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=68720001818",adaptive_layernorm|conditioned_transition,atom_single,4096,20
adaln_epilogue_saveact_triton,sm86,float32,"HAS_SB=1,shape_key=8593081114",adaptive_layernorm|conditioned_transition,token_single,512,20
adaln_epilogue_triton,sm86,float32,shape_key=2150630170,adaptive_layernorm|conditioned_transition,token_single,128,5
adaln_epilogue_triton,sm86,float32,shape_key=4298113818,adaptive_layernorm|conditioned_transition,token_single,256,5
adaln_epilogue_triton,sm86,float32,shape_key=6445597466,adaptive_layernorm|conditioned_transition,token_single,384,5
adaln_epilogue_triton,sm86,float32,shape_key=8593081114,adaptive_layernorm|conditioned_transition,token_single,512,5
adaln_fwd_gate_triton,sm86,bfloat16+float32,shape_key=17598631641647,adaptive_layernorm|conditioned_transition,token_single,256,20
adaln_fwd_gate_triton,sm86,bfloat16+float32,shape_key=26394724663855,adaptive_layernorm|conditioned_transition,token_single,384,20
adaln_fwd_gate_triton,sm86,bfloat16+float32,shape_key=35190817686063,adaptive_layernorm|conditioned_transition,token_single,512,20
adaln_fwd_gate_triton,sm86,bfloat16+float32,shape_key=8802538619439,adaptive_layernorm|conditioned_transition,token_single,128,20
adaln_fwd_triton,sm86,bfloat16,shape_key=140739636363823,adaptive_layernorm|conditioned_transition,atom_single,2048,5
adaln_fwd_triton,sm86,bfloat16,shape_key=281477124719151,adaptive_layernorm|conditioned_transition,atom_single,4096,5
adaln_fwd_triton,sm86,bfloat16,shape_key=562952101429807,adaptive_layernorm|conditioned_transition,atom_single,8192,5
adaln_fwd_triton,sm86,bfloat16,shape_key=70370892186159,adaptive_layernorm|conditioned_transition,atom_single,1024,5
adaln_fwd_triton,sm86,float32,shape_key=140739636363823,adaptive_layernorm|conditioned_transition,atom_single,2048,5
