module,stream,lengths,dims,options,impls,dtypes,computes,modes,source,eval_augmentation,train_augmentation
adaptive_layernorm,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_hidden=128;d_cond=128,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld atom_dit d_single=d_cond=d_single_atom=128,5,48
adaptive_layernorm,token_single,128|256|384|512|640|768,d_hidden=384;d_cond=384,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,AttentionPairBias builds AdaptiveLayerNorm at shared.d_single=384,1,1
adaptive_layernorm,token_single,128|256|384|512|640|768,d_hidden=768;d_cond=384,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld token_dit d_single=768 d_cond=384,5,48
attention_pair_bias,token_single,128|256|384|512|640|768,d_single=384;d_pair=128;n_head=8,,miniworld,bfloat16,,eval|train,MiniWorld shared.d_single=384 d_pair=128,1,1
attention_pair_bias,token_single,128|256|384|512|640|768,d_single=384;d_pair=256;n_head=8,,miniworld,bfloat16,,eval|train,headroom,1,1
attention_pair_bias,token_single,128|256|384|512|640|768,d_single=768;d_pair=128;n_head=16,,miniworld,bfloat16,,eval|train,MiniWorld d_single_token=768 n_head_attention=16,1,1
augmented_attention,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_single=128;d_cond=128;d_pair=16;n_head=4,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,bfloat16|float32,eval|train,MiniWorld atom_dit d_single_atom=128 d_pair_atom=16 n_head=4,5,48
augmented_attention,token_single,128|256|384|512|640|768,d_single=384;d_cond=384;d_pair=128;n_head=16,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,bfloat16|float32,eval|train,MiniWorld d_single=384 n_head_attention=16,5,48
augmented_attention,token_single,128|256|384|512|640|768,d_single=768;d_cond=384;d_pair=128;n_head=16,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,bfloat16|float32,eval|train,MiniWorld token_dit d_single=768 d_cond=384,5,48
conditioned_transition,atom_single,1024|2048|3072|4096|5120|6144|7168|8192,d_hidden=128;d_cond=128,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld atom_dit d_single=d_cond=d_single_atom=128,5,48
conditioned_transition,token_single,128|256|384|512|640|768,d_hidden=768;d_cond=384,transition_force_split=True|transition_cuda_b2b=False|transition_fuse_stats=True|transition_savedxn_split_bwd=True|transition_dab_lnbwd=True|transition_lnbwd_privatize=False|transition_large_d_training=triton|transition_large_d_training=cute|transition_cute_backward=cute|transition_gatebwd_wgmma=False|transition_lnbwd_cuda=False|ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16|float32,,eval|train,MiniWorld token_dit d_single=768 d_cond=384,5,48
gated_projection,token_pair,128|256|384|512|640|768,hd=128;d=128,,miniworld,bfloat16,,eval|train,kernel probe,1,1
gated_projection,token_pair,128|256|384|512|640|768,hd=256;d=128,,miniworld,bfloat16,,eval|train,kernel probe,1,1
layernorm_linear_pair_bias,token_pair,128|256|384|512|640|768,d=128;n_head=4,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16,,eval|train,kernel probe,1,1
layernorm_linear_pair_bias,token_pair,128|256|384|512|640|768,d=256;n_head=8,ln_bwd_path=persistent|ln_bwd_path=atomic|ln_bwd_path=cuda|layernorm_cuda_bwd=True,miniworld,bfloat16,,eval|train,kernel probe,1,1
layernorm_linear_stats,token_pair,128|256|384|512|640|768,d=128,,miniworld,bfloat16,,eval,kernel probe: forward only,1,1
layernorm_linear_stats,token_pair,128|256|384|512|640|768,d=256,,miniworld,bfloat16,,eval,kernel probe: forward only,1,1
layernorm_linear_stats,token_pair,128|256|384|512|640|768,d=512,,miniworld,bfloat16,,eval,kernel probe: forward only,1,1
layernorm_lowreg,token_pair,128|256|384|512|640|768,d=128,,miniworld,bfloat16,,eval,kernel probe: forward only,1,1
layernorm_lowreg,token_pair,128|256|384|512|640|768,d=256,,miniworld,bfloat16,,eval,kernel probe: forward only,1,1
