module,L,mode,backend,ms,status
trimul,384,inference,pytorch,1.3033555603027345,1.303
trimul,384,inference,cuequiv,0.552863998413086,0.553
trimul,384,inference,engine1,0.6846739196777344,0.685
trimul,384,inference,engine2,0.25481472015380857,0.255
trimul,768,inference,pytorch,11.663118896484375,11.663
trimul,768,inference,cuequiv,2.110767364501953,2.111
trimul,768,inference,engine1,2.628350830078125,2.628
trimul,768,inference,engine2,1.039908447265625,1.040
transition,384,inference,pytorch,0.4340505599975586,0.434
transition,384,inference,cuequiv,,—
transition,384,inference,engine1,,오류
transition,384,inference,engine2,0.1269977569580078,0.127
transition,768,inference,pytorch,1.6513548278808594,1.651
transition,768,inference,cuequiv,,—
transition,768,inference,engine1,,오류
transition,768,inference,engine2,0.4672332763671875,0.467
block,384,inference,pytorch,1.711584014892578,1.712
block,384,inference,cuequiv,0.982890853881836,0.983
block,384,inference,engine1,,오류
block,384,inference,engine2,0.3768044662475586,0.377
block,768,inference,pytorch,13.31389892578125,13.314
block,768,inference,cuequiv,3.7392013549804686,3.739
block,768,inference,engine1,,오류
block,768,inference,engine2,1.5101817321777344,1.510
single,384,inference,pytorch,0.763399658203125,0.763
single,384,inference,cuequiv,0.3054521560668945,0.305
single,384,inference,engine1,0.37712577819824217,0.377
single,384,inference,engine2,0.15076543807983397,0.151
single,768,inference,pytorch,6.203409423828125,6.203
single,768,inference,cuequiv,1.1880332946777343,1.188
single,768,inference,engine1,1.4615020751953125,1.462
single,768,inference,engine2,0.5866086578369141,0.587
opm,384,inference,pytorch,0.5450387191772461,0.545
opm,384,inference,cuequiv,,—
opm,384,inference,engine1,0.5435776138305664,0.544
opm,384,inference,engine2,0.3615718460083008,0.362
opm,768,inference,pytorch,2.1252645874023437,2.125
opm,768,inference,cuequiv,,—
opm,768,inference,engine1,2.1347552490234376,2.135
opm,768,inference,engine2,1.2826629638671876,1.283
pwa,384,inference,pytorch,0.3232108688354492,0.323
pwa,384,inference,cuequiv,,—
pwa,384,inference,engine1,0.3197727966308594,0.320
pwa,384,inference,engine2,0.12522879600524903,0.125
pwa,768,inference,pytorch,0.7292806243896485,0.729
pwa,768,inference,cuequiv,,—
pwa,768,inference,engine1,0.7338630676269531,0.734
pwa,768,inference,engine2,0.3761587142944336,0.376
dit,384,inference,pytorch,0.1497663974761963,0.150
dit,384,inference,cuequiv,,—
dit,384,inference,engine1,,—
dit,384,inference,engine2,0.2682598304748535,0.268
dit,768,inference,pytorch,0.3029868888854981,0.303
dit,768,inference,cuequiv,,—
dit,768,inference,engine1,,—
dit,768,inference,engine2,0.36348800659179686,0.363
trimul,384,training,pytorch,4.01825927734375,4.018
trimul,384,training,cuequiv,2.261005401611328,2.261
trimul,384,training,engine1,1.8566905212402345,1.857
trimul,384,training,engine2,1.0603923034667968,1.060
trimul,768,training,pytorch,35.35118408203125,35.351
trimul,768,training,cuequiv,8.568474731445313,8.568
trimul,768,training,engine1,7.206217041015625,7.206
trimul,768,training,engine2,4.190278930664062,4.190
transition,384,training,pytorch,1.1914752197265626,1.191
transition,384,training,cuequiv,,—
transition,384,training,engine1,,오류
transition,384,training,engine2,0.5620198440551758,0.562
transition,768,training,pytorch,4.497823486328125,4.498
transition,768,training,cuequiv,,—
transition,768,training,engine1,,오류
transition,768,training,engine2,2.1397613525390624,2.140
block,384,training,pytorch,5.274278564453125,5.274
block,384,training,cuequiv,3.5150048828125,3.515
block,384,training,engine1,,오류
block,384,training,engine2,1.6476045227050782,1.648
block,768,training,pytorch,40.0771826171875,40.077
block,768,training,cuequiv,13.332762451171876,13.333
block,768,training,engine1,,오류
block,768,training,engine2,6.360491943359375,6.360
single,384,training,pytorch,2.415050201416016,2.415
single,384,training,cuequiv,1.3972511291503906,1.397
single,384,training,engine1,,오류
single,384,training,engine2,1.0972006225585937,1.097
single,768,training,pytorch,18.93564697265625,18.936
single,768,training,cuequiv,5.3855133056640625,5.386
single,768,training,engine1,,오류
single,768,training,engine2,4.145399169921875,4.145
opm,384,training,pytorch,1.3553581237792969,1.355
opm,384,training,cuequiv,,—
opm,384,training,engine1,1.392200927734375,1.392
opm,384,training,engine2,0.997325439453125,0.997
opm,768,training,pytorch,5.057666625976562,5.058
opm,768,training,cuequiv,,—
opm,768,training,engine1,5.160381469726563,5.160
opm,768,training,engine2,3.494711608886719,3.495
pwa,384,training,pytorch,0.8768915557861328,0.877
pwa,384,training,cuequiv,,—
pwa,384,training,engine1,0.974642562866211,0.975
pwa,384,training,engine2,0.5621875381469726,0.562
pwa,768,training,pytorch,1.9440742492675782,1.944
pwa,768,training,cuequiv,,—
pwa,768,training,engine1,2.302887725830078,2.303
pwa,768,training,engine2,1.3219200134277345,1.322
dit,384,training,pytorch,0.4486982345581055,0.449
dit,384,training,cuequiv,,—
dit,384,training,engine1,,—
dit,384,training,engine2,0.4664089584350586,0.466
dit,768,training,pytorch,0.8907679748535157,0.891
dit,768,training,cuequiv,,—
dit,768,training,engine1,,—
dit,768,training,engine2,0.9396160125732422,0.940
